CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/28/2013,18:15,,,,,,WILLIAMSBRIDGE ROAD             ,POPLAR STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,105992,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/16/2014,12:25,BROOKLYN,11208,40.6712208,-73.8827543,"(40.6712208, -73.8827543)",SUTTER AVENUE                   ,ELTON STREET                    ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3138607,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/04/2016,19:15,BROOKLYN,11209,40.625576,-74.03019,"(40.625576, -74.03019)",,,8303      3 AVENUE                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3573847,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/17/2019,1:00,,,40.587406,-74.19102,"(40.587406, -74.19102)",,,300       WILD AVENUE                   ,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,4159426,Sedan,,,,
10/15/2014,7:30,BROOKLYN,11209,40.6209768,-74.025363,"(40.6209768, -74.025363)",86 STREET                       ,GELSTON AVENUE                  ,,0,0,0,0,0,0,0,0,Prescription Medication,Fatigued/Drowsy,,,,1910533,SPORT UTILITY / STATION WAGON,VAN,,,
04/28/2016,11:55,BRONX,10459,,,,SOUTHERN BOULEVARD              ,EAST 163 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3431624,Sedan,Sedan,,,
11/18/2012,15:00,QUEENS,11413,40.6576342,-73.7490239,"(40.6576342, -73.7490239)",232 STREET                      ,147 AVENUE                      ,,0,0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,221300,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
10/16/2012,20:00,,,40.7252459,-73.933907,"(40.7252459, -73.933907)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,Unspecified,,2992063,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
08/04/2016,16:21,,,40.70196,-73.944016,"(40.70196, -73.944016)",BROADWAY                        ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3494258,Station Wagon/Sport Utility Vehicle,Ambulance,,,
06/19/2015,14:22,BROOKLYN,11217,40.6750958,-73.975031,"(40.6750958, -73.975031)",7 AVENUE                        ,BERKELEY PLACE                  ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3245909,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
